id,nama_lokasi,alamat,fixed_latitude,fixed_longitude,jenis,new_latitude,new_longitude
126,Menara Siger,"Lampung, Lampung",-5.8653476,105.7497984,4,-5.8653476,105.7497984
127,Nuwo Sesat Olok Gading,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
128,Benteng Marlborough,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
129,Situs Megalitik Batu Brak,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
130,Makam Raden Intan II,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
131,Masjid Kubah Intan,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
132,Taman Budaya Lampung,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
133,Museum Mahkota Dipuncak Nur,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
134,Rumah Adat Jajar Intan,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
135,Rumah Daswati,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
136,Situs Prasasti Palas Pasemah,"Lampung, Lampung",-5.0,105.0,4,-5.0,105.0
