nama,alamat,lat,long,image_filename
Rizky 99,"Rizky 99, Jalan Raden Intan, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.417725,105.258146,img_86_Rizky-99.jpg
Pecel Lele Mbak Yul,"Pecel Lele Mbak Yul, Jalan Raden Intan, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419679,105.258372,img_87_Pecel-Lele-Mbak-Yul.jpg
Eze Steak and Resto,"Eze Steak and Resto, Jalan Tulang Bawang, Enggal, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.417439,105.258717,img_88_Eze-Steak-and-Resto.jpg
Bakso Jono,"Bakso Jono, Gang Anggrek III, Sawah Brebes, Bandar Lampung, Lampung, Sumatra, 35123, Indonesia",-5.397885,105.251074,img_89_Bakso-Jono.png
Oemah Mie,"Oemah Mie, Jalan Tulang Bawang, Enggal, Bandar Lampung, Lampung, Sumatra, 35127, Indonesia",-5.417852,105.259249,img_90_Oemah-Mie.jpg
Mie Lampung II,"Mie Lampung II, Jalan Raden Intan, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.420602,105.258479,img_91_Mie-Lampung-II.jpg
Ayam Jerit Lampung,"Ayam Jerit Lampung, Jalan Siswondo Parman, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419739,105.258092,img_92_Ayam-Jerit-Lampung.jpg
Bubur Ayam Cirebon,"Bubur Ayam Cirebon, Jalan Siswondo Parman, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419617,105.25345,img_93_Bubur-Ayam-Cirebon.jpg
Ayam Geprek Mbah Janah,"Ayam Geprek Mbah Janah, Jalan Sisingamangaraja, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35151, Indonesia",-5.406386,105.241014,img_94_Ayam-Geprek-Mbah-Janah.jpg
Rosemary Steak,"Rosemary Steak, Jalan Ade Irma Suryani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.420749,105.253792,img_95_Rosemary-Steak.jpg
Gultik Persit,"Gultik Persit, Jalan Ahmad Yani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.42114,105.253789,img_96_Gultik-Persit.jpg
Sate Madura Cak Ian,"Sate Madura Cak Ian, Gang Jaya Antara, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.411825,105.245567,img_97_Sate-Madura-Cak-Ian.jpg
Soto Darusallam,"Soto Darusallam, Jalan Sisingamangaraja, Gedong Air, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.407575,105.242196,img_98_Soto-Darusallam.jpeg
Waroenk Kita,"Waroenk Kita, Jalan Ade Irma Suryani, Durian Payung, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.420577,105.253537,img_99_Waroenk-Kita.jpg
New Martabak POP,"New Martabak POP, Cut Nyak Dhien, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.416356,105.246754,img_100_New-Martabak-POP.jpg
Mbok Wito Palapa,"Mbok Wito Palapa, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.425121,105.246686,img_101_Mbok-Wito-Palapa.jpg
Soto Lamongan,"Soto Lamongan, Jalan Sisingamangaraja, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.412198,105.245623,img_102_Soto-Lamongan.jpg
Palapa Mie,"Palapa Mie, Jalan Pangeran Emir Muhammad Noer, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.419874,105.246546,img_103_Palapa-Mie.jpg
Warung Nasi Gambreng,"Warung Nasi Gambreng, Gang Bukit, Kaliawi, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.40869,105.244164,img_104_Warung-Nasi-Gambreng.jpg
RM Budi Rahayu,"RM Budi Rahayu, Jalan Raden Saleh, Palapa, Bandar Lampung, Lampung, Sumatra, 35119, Indonesia",-5.424839,105.251335,img_105_RM-Budi-Rahayu.jpg
